w_Si(nm),h_Si(nm),Refractive Index(real part),Refractive Index(imaginary part) 
129.8,220,2.2747,-0.04521
129.9,220,2.2746,-0.045138
130,220,2.2744,-0.045214
130.1,220,2.2743,-0.045211
130.2,220,2.2742,-0.045205
130.3,220,2.2741,-0.045205
130.4,220,2.274,-0.045207
130.5,220,2.2739,-0.0452
130.6,220,2.2738,-0.0452
130.7,220,2.2737,-0.045205
130.8,220,2.2736,-0.045138
130.9,220,2.2735,-0.045186
131,220,2.2734,-0.045184
131.1,220,2.2733,-0.045183
131.2,220,2.2731,-0.045184
131.3,220,2.2731,-0.045148
131.4,220,2.273,-0.045122
131.5,220,2.2728,-0.045198
131.6,220,2.2728,-0.045124
131.7,220,2.2727,-0.045124
131.8,220,2.2725,-0.045172
131.9,220,2.2724,-0.045169
132,220,2.2723,-0.045164
132.1,220,2.2722,-0.045159
132.2,220,2.272,-0.045185
132.3,220,2.2719,-0.045184
132.4,220,2.2719,-0.045141
132.5,220,2.2718,-0.045142
132.6,220,2.2716,-0.045181
132.7,220,2.2715,-0.045187
132.8,220,2.2714,-0.045187
132.9,220,2.2713,-0.045195
133,220,2.2712,-0.045192
133.1,220,2.2711,-0.045161
133.2,220,2.271,-0.045159
133.3,220,2.2709,-0.04516
133.4,220,2.2708,-0.045139
133.5,220,2.2707,-0.045145
133.6,220,2.2705,-0.045182
133.7,220,2.2705,-0.045158
133.8,220,2.2703,-0.045157
133.9,220,2.2702,-0.045182
134,220,2.2701,-0.0452
134.1,220,2.27,-0.04519
134.2,220,2.2699,-0.045158
134.3,220,2.2698,-0.045161
134.4,220,2.2697,-0.045156
134.5,220,2.2696,-0.045194
134.6,220,2.2695,-0.045137
134.7,220,2.2694,-0.045194
134.8,220,2.2693,-0.045195
134.9,220,2.2692,-0.045198
135,220,2.2691,-0.045202
135.1,220,2.269,-0.045195
135.2,220,2.2689,-0.045155
135.3,220,2.2688,-0.045153
135.4,220,2.2686,-0.045143
135.5,220,2.2685,-0.045139
135.6,220,2.2684,-0.045149
135.7,220,2.2683,-0.04515
135.8,220,2.2682,-0.045149
135.9,220,2.2681,-0.045154
136,220,2.268,-0.045153
136.1,220,2.2679,-0.045161
136.2,220,2.2678,-0.045164
136.3,220,2.2677,-0.04516
136.4,220,2.2676,-0.045138
136.5,220,2.2675,-0.045139
136.6,220,2.2674,-0.045132
136.7,220,2.2673,-0.045135
136.8,220,2.2672,-0.045177
136.9,220,2.2671,-0.045176
137,220,2.267,-0.045178
137.1,220,2.2669,-0.045176
137.2,220,2.2668,-0.045182
137.3,220,2.2667,-0.045178
137.4,220,2.2666,-0.045175
137.5,220,2.2665,-0.045189
